order	status	idx	cue	category	fields	hashtags
44	pending_new51	55	resume_speaking_pull	A	movement	dynamic_only_spec floor_claim interaction_arm movement_primary pull_to_torso semantic_control semantic_conversational semantic_inward semantic_pull semantic_reclaim semantic_torso social_signal torso_motion
45	pending_new51	56	emphasize_point_downbeat	A	movement|pose	deictic downbeat_accent downward_axis interaction_arm pointing pose_plus_movement reference rhetorical_stress semantic_beat semantic_downward semantic_emphasize semantic_sharp semantic_statement social_signal two_stage_gesture
46	pending_new51	95	prepare_action_raise_hold	A	movement|pose	hold interaction_arm pause pose_plus_movement pre_action readiness_pose semantic_action semantic_hold semantic_preparation semantic_raise social_signal static_hold static_segment two_stage_gesture
47	pending_new51	105	scale_compress	A	movement|pose	interaction_arm magnitude magnitude_metaphor pose_plus_movement semantic_bring semantic_compression semantic_hands semantic_inward semantic_reduction size_metaphor_small social_signal spatial_compression two_stage_gesture
48	pending_new51	106	uncertainty_wave	A	movement	dynamic_only_spec interaction_arm lateral_axis lateral_motion loose_lateral_wave movement_primary oscillation semantic_loosely semantic_move semantic_side semantic_uncertainty social_signal uncertainty
49	pending_new51	31	draw_circle_repeat	H	movement	air_circle circular_path conversation_meta dynamic_only_spec movement_primary repeated_trace repetition repetitive_trace rhythmic semantic_circular semantic_trace timing_control
50	pending_new51	44	clarification_request_palm_tilt	H	movement|pose	clarify conversation_meta lateral_axis open_hand palm_gesture palm_visible pose_plus_movement questioning_palm semantic_clarification semantic_palm semantic_request semantic_sideways semantic_tilt semantic_upward social_request timing_control turn_taking two_stage_gesture upward_axis
51	pending_new51	46	speed_up_circular_cue	H	movement	circular_speed_signal conversation_meta dynamic_only_spec hurry_up movement_primary repetition rhythmic rotation semantic_circles semantic_encourage semantic_faster semantic_progress semantic_repeated semantic_rotate timing_control
52	pending_new51	49	polite_decline_small_push	H	movement|pose	conversation_meta pose_plus_movement rejection semantic_offer semantic_outward semantic_pushing semantic_reject semantic_softly small_push soft_rejection timing_control two_stage_gesture
53	pending_new51	57	unsure_response_hand_hover_stop	H	movement|pose	blocking conversation_meta forward_axis hand_focus hold indecision mid_action_freeze midair_freeze pause pose_plus_movement prohibition semantic_forward semantic_hold semantic_midair semantic_move semantic_pause semantic_uncertainly static_segment timing_control two_stage_gesture uncertainty
54	pending_new51	65	raise_index_one_moment	H	movement|pose	conversation_meta finger_articulation index_finger mid_action_freeze one_moment pause pause_request pose_plus_movement semantic_finger semantic_index semantic_pause semantic_raise semantic_request semantic_short semantic_vertically timing_control two_stage_gesture wait_signal
55	pending_new51	73	curl_fingers_give_me	H	movement	beckon_fingers come_here_variant conversation_meta dynamic_only_spec finger_articulation finger_motion movement_primary object_request repetition rhythmic semantic_approach semantic_curl semantic_fingers semantic_inward semantic_request semantic_transfer timing_control
56	pending_new51	90	start_action_forward_snap	H	movement|pose	conversation_meta forward_axis pose_plus_movement semantic_action semantic_forward semantic_initiate semantic_quickly semantic_snap snap_initiation timing_control two_stage_gesture
57	pending_new51	92	retry_action_reset_circle	H	movement	circular_path conversation_meta dynamic_only_spec movement_primary repetitive_trace reset_loop retry semantic_action semantic_again semantic_attempting semantic_loop semantic_retract timing_control
58	pending_new51	97	hesitation_pause_hold	H	movement	conversation_meta dynamic_only_spec movement_primary pause pause_mid_action pause_resume semantic_action semantic_begin semantic_confidence semantic_continue semantic_freeze semantic_reduced semantic_then static_hold stutter_motion timing_control uncertainty
59	pending_new51	108	interrupt_hard	H	movement	abrupt_stop conversation_control conversation_meta dynamic_only_spec flow_break hard_cut movement_primary semantic_break semantic_cutting semantic_flow semantic_sharp semantic_stopping semantic_sudden timing_control
60	pending_new51	109	interrupt_soft	H	movement	conversation_control conversation_meta dynamic_only_spec flow_break gentle_interrupt mid_action_freeze movement_primary pause semantic_gentle semantic_introduce semantic_lifting semantic_pause semantic_slowing soft_pause timing_control
61	pending_new51	62	self_hug	B	pose	affiliation bimanual body_pointing body_space comfort first_person pose_primary self_contact self_embrace self_reference semantic_across semantic_arms semantic_both semantic_contact semantic_inward semantic_self semantic_torso semantic_wrap static_configuration torso_motion
62	pending_new51	67	rub_arms_cold	B	movement|pose	arm_trajectory bimanual body_space contact_repetition discomfort fatigue pose_plus_movement repetition rhythmic self_rubbing semantic_arms semantic_both semantic_cold semantic_feeling semantic_simulate thermoregulation_pantomime two_stage_gesture
63	pending_new51	69	cross_arms_defensive	B	pose	arm_trajectory barrier bimanual body_space closed_posture closure defensive_posture pose_primary resistance semantic_across semantic_arms semantic_both semantic_chest semantic_closure semantic_fold semantic_resistance semantic_tightly static_configuration
64	pending_new51	72	palms_together_thank_you	B	pose	addressee bimanual body_space deictic gratitude gratitude_pose open_hand other_reference palm_gesture palm_visible palms_together pose_primary prayer_hands semantic_both semantic_front semantic_palms semantic_press semantic_respectfully semantic_together static_configuration
65	pending_new51	75	arms_open_welcome	B	pose	affiliation arm_trajectory bimanual body_space hospitality open_arms pose_primary receptive semantic_arms semantic_both semantic_open semantic_receptive semantic_widely static_configuration
66	pending_new51	76	stretch_arms_up	B	movement|pose	arm_trajectory bimanual body_space pose_plus_movement semantic_arms semantic_both semantic_extend semantic_fully semantic_stretching semantic_upward stretching two_stage_gesture upward_axis vitality
67	pending_new51	85	dominance_high_open_hold	B	pose	bimanual body_space dominance_display expansive_power_pose hold open_expansive pause pose_primary semantic_arms semantic_both semantic_dominance semantic_high semantic_hold semantic_maximize semantic_open semantic_perceived static_configuration static_hold static_segment
68	pending_new51	114	contain_space	B	movement|pose	bimanual body_space inward_envelope pose_plus_movement semantic_arms semantic_both semantic_bring semantic_compress semantic_inward semantic_limit semantic_occupied semantic_space space_bounding two_stage_gesture
69	pending_new51	115	expand_space	B	movement|pose	bimanual body_space magnitude pose_plus_movement semantic_arms semantic_both semantic_dominance semantic_increase semantic_openness semantic_outward semantic_perceived semantic_spread space_opening spatial_expansion two_stage_gesture
70	pending_new51	116	compress_space	B	movement|pose	bimanual body_space magnitude pose_plus_movement semantic_arms semantic_both semantic_extent semantic_inward semantic_move semantic_reduce semantic_spatial semantic_symmetrically spatial_compression symmetric_inward two_stage_gesture
71	pending_new51	117	balance_scale	B	movement|pose	bimanual body_space comparison_metaphor dual_arm_opposition magnitude_metaphor pose_plus_movement semantic_alternatives semantic_both semantic_hands semantic_oppositely semantic_raise semantic_weighing two_stage_gesture weighing_alternatives
72	pending_new51	118	push_pull_dual	B	movement|pose	asymmetric_hands backward_axis bimanual body_space forward_axis opposing_hands pose_plus_movement semantic_backward semantic_forward semantic_pulling semantic_push semantic_simultaneously tension_display two_stage_gesture
73	pending_new51	94	abandon_action_drop_turn	W	movement	body_position disengagement drop_away dynamic_only_spec movement_primary rotation semantic_away semantic_disengagement semantic_drop semantic_rotate semantic_torso torso_motion torso_weight
74	pending_new51	121	weight_shift_forward	W	movement|pose	body_position forward_lean_weight pose_plus_movement semantic_engagement semantic_front semantic_increase semantic_shift semantic_weight stance_shift torso_posture torso_weight two_stage_gesture
75	pending_new51	122	weight_shift_backward	W	movement|pose	backward_axis backward_lean_weight behind_body body_position pose_plus_movement semantic_backward semantic_distance semantic_engagement semantic_increase semantic_reduce semantic_shift semantic_weight stance_shift torso_posture torso_weight two_stage_gesture upper_back_target
76	pending_new51	123	torso_rotate_away	W	movement|pose	avoidance_orientation body_orientation body_position pose_plus_movement rotation semantic_away semantic_from semantic_rotate semantic_torso torso_motion torso_posture torso_weight two_stage_gesture
77	pending_new51	124	torso_rotate_toward	W	movement|pose	approach_orientation body_orientation body_position pose_plus_movement rotation semantic_focus semantic_object semantic_rotate semantic_upper torso_posture torso_weight two_stage_gesture
78	pending_new51	125	lean_side_doubt	W	movement|pose	body_position engagement_level lateral_axis pose_plus_movement semantic_doubt semantic_sideways semantic_skepticism semantic_subtly semantic_tilt semantic_torso skeptical_tilt torso_motion torso_posture torso_weight two_stage_gesture
79	pending_new51	127	expand_chest	W	pose	body_position chest_out confidence_posture magnitude pose_primary semantic_chest semantic_confidence semantic_increase semantic_openness semantic_outward semantic_push spatial_expansion static_configuration torso_weight
80	pending_new51	42	escorting_gesture	A & W	movement|pose	accompanying_guide full_body_express guidance pose_plus_movement semantic_extend semantic_guide semantic_orienting semantic_person semantic_torso torso_arm_combo torso_motion two_stage_gesture
81	pending_new51	47	wait_for_me_backward_palm	A & W	movement|pose	backward_axis backward_motion behind_body full_body_express open_hand palm_gesture palm_visible pose_plus_movement semantic_away semantic_backward semantic_extend semantic_moving semantic_palm semantic_request semantic_waiting torso_arm_combo two_stage_gesture upper_back_target wait_for_me
82	pending_new51	58	prevent_fall_support_reach	A & W	movement|pose	emergency_help forward_extension full_body_express pose_plus_movement semantic_balance semantic_extend semantic_losing semantic_quickly semantic_someone semantic_torso spatial_approach support_grasp torso_arm_combo torso_motion two_stage_gesture
83	pending_new51	82	frustration_down_throw	A & W	movement|pose	aggressive_downward downward_axis downward_throw frustration full_body_express pose_plus_movement semantic_arms semantic_downward semantic_frustration semantic_sharply semantic_tension semantic_throw semantic_torso torso_arm_combo torso_motion two_stage_gesture
84	pending_new51	84	submission_lowered_open_palm	A & W	pose	full_body_express open_hand palm_gesture palm_visible pose_primary semantic_lower semantic_open semantic_palms semantic_presenting semantic_submissively semantic_torso static_configuration submissive_offer torso_arm_combo torso_motion
85	pending_new51	86	apology_forward_lowered_hold	A & W	movement|pose	apology forward_axis full_body_express pause pose_plus_movement remorse_posture semantic_apology semantic_arms semantic_forward semantic_lean semantic_lowered semantic_stillness semantic_sustained static_hold submission_posture torso_arm_combo two_stage_gesture
86	pending_new51	33	chin_flick_dismiss	H & F	movement|pose	dismissal_flick dismissive face_hand_combo face_region finger_articulation head_contact pose_plus_movement semantic_beneath semantic_chin semantic_dismissively semantic_fingers semantic_flick semantic_from semantic_outward two_stage_gesture
87	pending_new51	34	cover_ears_too_loud	H & F	movement|pose	face_cover face_hand_combo head_contact head_region inhibition noise_block pose_plus_movement semantic_block semantic_ears semantic_hands semantic_over semantic_overwhelming semantic_place semantic_sound sensory_block two_stage_gesture
88	pending_new51	78	disagreement_cross_then_release	H & F	movement|pose	abstract_essence affirmation barrier closure defensive_posture disagree_then_open face_hand_combo head_contact pose_plus_movement semantic_arms semantic_cross semantic_hands semantic_outward semantic_releasing two_stage_gesture
89	pending_new51	128	eye_widen_surprise	F	movement|pose	eye_region eyelid_opening face_gaze face_region forward_axis gaze_related head_motion pose_plus_movement semantic_attention semantic_enlarge semantic_forward semantic_opening semantic_orienting semantic_rapidly startle startle_face surprise two_stage_gesture
90	pending_new51	130	gaze_shift_avoid	F	movement|pose	attention aversion_gaze disengaged_look face_gaze gaze gaze_shift head_motion pose_plus_movement semantic_away semantic_engagement semantic_from semantic_gaze semantic_redirect semantic_reduce two_stage_gesture
91	pending_essence10	96	tempo_cue	H	essence	abstract_pacing conversation_meta essence_only non_decomposable pacing qualitative_state semantic_communicate semantic_modulate semantic_pacing semantic_speed semantic_timing timing_control timing_essence timing_modulation
92	pending_essence10	142	thinking	M	essence	abstract_essence cognition_state cognitive_gesture cognitive_state essence_only mental_state mid_action_freeze non_decomposable pause qualitative_state semantic_cognition semantic_deliberate semantic_intermittent semantic_movements semantic_pauses semantic_suggesting semantic_sustain temple_contact
93	pending_essence10	143	skepticism	M	essence	abstract_essence doubt doubt_state essence_only mental_state non_decomposable qualitative_state semantic_asymmetric semantic_combine semantic_doubt semantic_restrained
94	pending_essence10	144	agreement	M	essence	abstract_essence affirmation consent_state essence_only mental_state non_decomposable qualitative_state semantic_affirmative semantic_movements semantic_open semantic_orientation semantic_synchronized
95	pending_essence10	145	shame	M	essence	abstract_essence embarrassment essence_only gaze mental_state non_decomposable qualitative_state semantic_gaze semantic_lower semantic_minimize semantic_openness semantic_presence semantic_reduce semantic_social withdrawal_affect
96	pending_essence10	146	confusion	M	essence	abstract_essence confusion disorientation_state essence_only mental_state mid_action_freeze non_decomposable pause qualitative_state semantic_alternate semantic_commitment semantic_directional semantic_hesitant semantic_motions semantic_pauses semantic_stable uncertainty
97	pending_essence10	147	curiosity	M	essence	abstract_essence essence_only exploratory_affect interest mental_state non_decomposable qualitative_state semantic_attention semantic_exploratory semantic_lean semantic_orient
98	pending_essence10	148	anticipation	M	essence	abstract_essence comfort contact_repetition essence_only expectant_state expectation forward_axis mental_state non_decomposable qualitative_state semantic_energetic semantic_forward semantic_maintain semantic_oriented semantic_readiness semantic_restrained tapping
99	pending_essence10	152	hesitation	M	essence	abstract_essence essence_only indecision_state mental_state mid_action_freeze non_decomposable pause pause_mid_action qualitative_state semantic_begin semantic_certainty semantic_continue semantic_midway semantic_pause semantic_reduced uncertainty
100	pending_essence10	153	urgency	M	essence	abstract_essence essence_only haste mental_state mid_action_freeze non_decomposable pause qualitative_state semantic_action semantic_duration semantic_increase semantic_pause semantic_prioritize semantic_rapid semantic_reduce semantic_speed time_pressure_state
